Scottie Pippen,Chicago,,Karl Malone,Utah
Derrick Coleman,New Jersey,,Shawn Kemp,Seattle
Shaquille O'Neal,Orlando,,Hakeem Olajuwon,Houston
Kenny Anderson,New Jersey,,Mitch Richmond,Sacramento
B.J. Armstrong,Chicago,,Clyde Drexler,Portland
John Starks,New York,,John Stockton,Utah
Mark Price,Cleveland,,David Robinson,San Antonio
Patrick Ewing,New York,,Kevin Johnson,Phoenix
Charles Oakley,New York,,Clifford Robinson,Portland
Dominique Wilkins,Atlanta,,Danny Manning,Clippers
Mookie Blaylock,Atlanta,,Gary Payton,Seattle
Horace Grant,Chicago,,Latrell Sprewell,Golden State
Alonzo Mourning,Charlotte,,Dan Majerle,Phoenix
,,,,
EAST,TEAM,1993,WEST,TEAM
Larry Johnson,Charlotte,,Charles Barkley,Phoenix
Scottie Pippen,Chicago,,Karl Malone,Utah
Shaquille O'Neal,Orlando,,David Robinson,San Antonio
Isiah Thomas,Detroit,,John Stockton,Utah
Michael Jordan,Chicago,,Clyde Drexler,Portland
Larry Nance,Cleveland,,Dan Majerle,Phoenix
Patrick Ewing,New York,,Shawn Kemp,Seattle
Joe Dumars,Detroit,,Danny Manning,Clippers
Mark Price,Cleveland,,Hakeem Olajuwon,Houston
Detlef Schrempf,Indiana,,Terry Porter,Portland
Brad Daugherty,Cleveland,,Sean Elliot,San Antonio
Dominique Wilkins,Atlanta,,Chris Mullin,Golden State
,,,Tim Hardaway,Golden State
,,,Mitch Richmond,Sacramento
,,,,
EAST,TEAM,1992,WEST,TEAM
Scottie Pippen,Chicago,,Karl Malone,Utah
Charles Barkley,Philadelphia,,Chris Mullin,Golden State
Patrick Ewing,New York,,David Robinson,San Antonio
Isiah Thomas,Detroit,,Clyde Drexler,Portland
Michael Jordan,Chicago,,Magic Johnson,Lakers
Mark Price,Cleveland,,Tim Hardaway,Golden State
Brad Daugherty,Cleveland,,Hakeem Olajuwon,Houston
Joe Dumars,Detroit,,Jeff Hornacek,Phoenix
Dennis Rodman,Detroit,,Otis Thorpe,Houston
Reggie Lewis,Boston,,James Worthy,Lakers
Kevin Willis,Atlanta,,John Stockton,Utah
Michael Adams,Washington,,Dan Majerle,Phoenix
Larry Bird,Boston,,Dikembe Mutombo,Denver
Dominique Wilkins,Atlanta,,,
,,,,
EAST,TEAM,1991,WEST,TEAM
Bernard King,Washington,,Karl Malone,Utah
Charles Barkley,Philadelphia,,Chris Mullin,Golden State
Patrick Ewing,New York,,David Robinson,San Antonio
Joe Duamrs,Detroit,,Magic Johnson,Lakers
Michael Jordan,Chicago,,Kevin Johnson,Phoenix
Alvin Robertson,Milwaukee,,Kevin Duckworth,Portland
Dominique Wilkins,Atlanta,,Clyde Drexler,Portland
Robert Parish,Boston,,James Worthy,Lakers
Kevin McHale,Boston,,Terry Porter,Portland
Ricky Pierce,Milwaukee,,Tom Chambers,Phoenix
Brad Daugherty,Cleveland,,John Stockton,Utah
Hersey Hawkins,Philadelphia,,Tim Hardaway,Golden State
Larry Bird,Boston,,,
Isiah Thomas,Detroit,,,
,,,,
EAST,TEAM,1990,WEST,TEAM
Charles Barkley,Philadelphia,,A.C. Green,Lakers
Larry Bird,Boston,,James Worthy,Lakers
Patrick Ewing,New York,,Hakeem Olajuwon,Houston
Michael Jordan,Chicago,,Magic Johnson,Lakers
Isiah Thomas,Detroit,,John Stockton,Utah
Kevin McHale,Boston,,Tom Chambers,Phoenix
Joe Dumars,Detroit,,Clyde Drexler,Portland
Robert Parish,Boston,,David Robinson,San Antonio
Reggie Miller,Indiana,,Chris Mullin,Golden State
Dominique Wilkins,Atlanta,,Kevin Johnson,Phoenix
Dennis Rodman,Detroit,,Rolando Blackman,Dallas
Scottie Pippen,Chicago,,Lafayette Lever,Denver
,,,Karl Malone,Utah
,,,,
EAST,TEAM,1989,WEST,TEAM
Charles Barkley,Philadelphia,,Alex English,Denver
Dominique Wilkins,Atlanta,,Karl Malone,Utah
Moses Malone,Atlanta,,Hakeem Olajuwon,Houston
Michael Jordan,Chicago,,Dale Ellis,Seattle
Isiah Thomas,Detroit,,John Stockton,Utah
Patrick Ewing,New York,,Kareem Abdul-Jabbar,Lakers
Terry Cummings,Milwaukee,,Clyde Drexler,Portland
Larry Nance,Cleveland,,Tom Chambers,Phoenix
Mark Price,Cleveland,,Chris Mullin,Golden State
Mark Jackson,New York,,James Worthy,Lakers
Brad Daugherty,Cleveland,,Mark Eaton,Utah
Kevin McHale,Boston,,Kevin Duckworth,Portland
,,,Magic Johnson,Lakers
,,,,
EAST,TEAM,1988,WEST,TEAM
Larry Bird,Boston,,Alex English,Denver
Dominique Wilkins,Atlanta,,Karl Malone,Utah
Moses Malone,Washington,,Hakeem Olajuwon,Houston
Isiah Thomas,Detroit,,Magic Johnson,Lakers
Michael Jordan,Chicago,,Lafayette Lever,Denver
Patrick Ewing,New York,,Mark Aguirre,Dallas
Glenn Rivers,Atlanta,,Kareem Abdul-Jabbar,Lakers
Kevin McHale,Boston,,Alvin Robertson,San Antonio
